Country,Clicks,Impressions,CTR,Position
Canada,57,53223,0.11%,59.89
United States,3,7711,0.04%,48.98
Australia,3,195,1.54%,52.99
Ireland,2,70,2.86%,46.2
United Kingdom,1,778,0.13%,64.31
Portugal,1,23,4.35%,61.7
Hong Kong,1,9,11.11%,71.22
Brazil,0,1071,0%,60.43
India,0,561,0%,86.35
Italy,0,383,0%,60.34
Russia,0,351,0%,66.11
Vietnam,0,248,0%,67.61
South Korea,0,174,0%,65.33
Germany,0,161,0%,58.81
France,0,111,0%,58.28
Argentina,0,108,0%,59.98
Mexico,0,100,0%,56.48
South Africa,0,93,0%,46.35
Turkey,0,87,0%,60.84
Indonesia,0,83,0%,60.33
Ukraine,0,80,0%,55.11
Philippines,0,78,0%,53.37
Lithuania,0,75,0%,60.88
Bangladesh,0,70,0%,57.2
Japan,0,66,0%,62.05
New Zealand,0,58,0%,51.47
Saudi Arabia,0,55,0%,50.4
Ecuador,0,55,0%,60.49
Spain,0,53,0%,54.85
Malaysia,0,52,0%,64.29
Venezuela,0,49,0%,59.35
Taiwan,0,48,0%,62.44
Egypt,0,45,0%,61.53
Pakistan,0,41,0%,46.73
Netherlands,0,41,0%,55.8
Iraq,0,36,0%,47.92
Colombia,0,34,0%,61.68
Peru,0,30,0%,60.97
Poland,0,30,0%,65.7
Thailand,0,28,0%,54.68
Romania,0,28,0%,61.14
Kenya,0,21,0%,38
Paraguay,0,21,0%,52.43
Latvia,0,21,0%,61.76
Singapore,0,20,0%,57.05
Morocco,0,20,0%,57.15
Kazakhstan,0,20,0%,65.35
Denmark,0,19,0%,55.11
Moldova,0,19,0%,59.42
Chile,0,19,0%,59.58
Czechia,0,18,0%,54.89
Bulgaria,0,18,0%,64.44
Dominican Republic,0,17,0%,48.59
Unknown Region,0,17,0%,66.65
Jamaica,0,16,0%,52.94
Trinidad & Tobago,0,15,0%,54.8
Belarus,0,15,0%,57.47
Tunisia,0,15,0%,57.6
Israel,0,15,0%,58.87
Uruguay,0,14,0%,55.86
Uzbekistan,0,14,0%,69
French Polynesia,0,12,0%,35.75
United Arab Emirates,0,12,0%,50
Algeria,0,11,0%,61.91
Malta,0,10,0%,49.5
Finland,0,10,0%,53.7
Switzerland,0,10,0%,59.7
Jordan,0,10,0%,64.2
Nigeria,0,9,0%,28
Austria,0,9,0%,40.67
Barbados,0,9,0%,47
Cyprus,0,9,0%,63.44
Norway,0,9,0%,72.67
Greece,0,8,0%,46.12
Sweden,0,8,0%,59
Nepal,0,8,0%,59.75
Panama,0,7,0%,52.29
Bahrain,0,7,0%,55.86
Ethiopia,0,7,0%,57.57
Iran,0,7,0%,58.71
Hungary,0,7,0%,59.29
Serbia,0,7,0%,60.43
Slovakia,0,7,0%,62.29
Guatemala,0,7,0%,63.43
Honduras,0,7,0%,75.14
Senegal,0,6,0%,46
Bolivia,0,6,0%,49.5
Georgia,0,6,0%,50.17
Seychelles,0,6,0%,54.17
Puerto Rico,0,6,0%,55.5
Syria,0,6,0%,62.17
Azerbaijan,0,5,0%,46.8
Costa Rica,0,5,0%,48.2
Ghana,0,5,0%,64.4
Croatia,0,5,0%,64.8
Angola,0,5,0%,72.6
Cambodia,0,4,0%,39.25
Kuwait,0,4,0%,45.25
Libya,0,4,0%,47.75
Uganda,0,4,0%,52
Qatar,0,4,0%,59.5
Belgium,0,4,0%,72
Congo - Kinshasa,0,4,0%,78.75
Kyrgyzstan,0,3,0%,29.67
Estonia,0,3,0%,31
El Salvador,0,3,0%,56.33
Palestine,0,3,0%,58.67
Armenia,0,3,0%,60.33
China,0,3,0%,61.33
Oman,0,3,0%,61.33
Tajikistan,0,2,0%,37.5
Sri Lanka,0,2,0%,38.5
Nicaragua,0,2,0%,51
Guyana,0,2,0%,53.5
Macedonia,0,2,0%,53.5
Albania,0,2,0%,58.5
Cayman Islands,0,2,0%,67
Bosnia & Herzegovina,0,2,0%,70
St. Kitts & Nevis,0,2,0%,72
Tanzania,0,2,0%,77
Bahamas,0,2,0%,84
Belize,0,2,0%,86
Turks & Caicos Islands,0,1,0%,3
Antigua & Barbuda,0,1,0%,8
Mongolia,0,1,0%,8
Slovenia,0,1,0%,9
Guernsey,0,1,0%,31
Rwanda,0,1,0%,32
San Marino,0,1,0%,33
Kosovo,0,1,0%,36
Brunei,0,1,0%,41
Montenegro,0,1,0%,45
Sint Maarten,0,1,0%,45
Maldives,0,1,0%,46
Myanmar (Burma),0,1,0%,51
Botswana,0,1,0%,57
Gabon,0,1,0%,57
Mauritius,0,1,0%,62
Mozambique,0,1,0%,64
Guadeloupe,0,1,0%,66
Dominica,0,1,0%,67
Côte d’Ivoire,0,1,0%,68
Congo - Brazzaville,0,1,0%,68
Guam,0,1,0%,68
Suriname,0,1,0%,70
American Samoa,0,1,0%,72
Macau,0,1,0%,73
British Virgin Islands,0,1,0%,73
Timor-Leste,0,1,0%,81
Lebanon,0,1,0%,93
Curaçao,0,1,0%,101
Bermuda,0,1,0%,102